request_id,prof_email,prof_name,university,status,Contributor,Email,Profession,Designation,Date,Time,Main_Location,Location,Latitude,Longitude,Water_Temp,Salinity,Transparency,Color,Odour,Turbidity,TSS,pH,DO,BOD,COD,NH4_N,NO3_N,NO2_N,PO4,SO4,Fecal_Coliform,Total_Coliform,Phytoplankton,Zooplankton,Productivity,Coastal_Villages,Panchayats,Population,Fishermen,Fish_Catch,Landing_Centers,Shoreline_Status,Water_Body_Type,Water_Bodies,Industrial_Est,Tourism_Status,Tourist_Inflow,Optimum_Season,TDS,Chlorophyll,BGA,Wind_Speed,Wind_Direction,Precipitation,Humidity,Air_Temp,created_at,Verified_By
e38f4f13-fdab-414a-bc5f-67d47b69a6ac,fringbrba@gmail.com,Rose Mary,KTU,pending,Test User,test@nccr.gov.in,Fisherman,Fisherman,2026-02-19,04:45:00,Kochi (Ernakulam) Coast,,9.9312,76.2673,0.06,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0,0,0,,0,Stable,Estuary,0,0,Active,0,,,,,,,,,,2026-02-19 10:19:52.774807,
b069e3c5-eaf9-4ef5-9f87-8f1d0eeb48af,fringbrba@gmail.com,Rose Mary,KTU,pending,Test User,test@nccr.gov.in,Fisherman,Fisherman,2026-02-19,04:45:00,Kochi (Ernakulam) Coast,,9.9312,76.2673,0.06,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0,0,0,,0,Stable,Estuary,0,0,Active,0,,,,,,,,,,2026-02-19 10:19:54.297184,
a40ec8b1-42bb-4794-9ddc-95013ed8cca9,fringbrba@gmail.com,Rose Mary,KTU,pending,Test User,test@nccr.gov.in,Fisherman,Fisherman,2026-02-19,04:45:00,Kochi (Ernakulam) Coast,,9.9312,76.2673,36.0,27.0,0.0,,,0.0,0.0,8.4,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,15,3,12546,8542,,0,Stable,Lake,2,0,Active,0,,,,,,,,,,2026-02-19 10:21:14.524286,
9f383df6-8857-4405-9abb-ec7c627c629f,fringbrba@gmail.com,Santhosh Kottam,KTU,pending,Test User,test@nccr.gov.in,Fisherman,Fisherman,2026-02-19,04:45:00,Kochi (Ernakulam) Coast,,9.9312,76.2673,36.0,27.0,0.0,,,0.0,0.0,8.4,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,15,3,12546,8542,,0,Stable,Lake,2,0,Inactive,0,,,,,,,,,,2026-02-19 10:35:09.826692,
19a9bcf2-2901-413c-a32b-a70a80e081b5,fringbrba@gmail.com,Santhosh Kottam,KTU,pending,Test User,test@nccr.gov.in,Fisherman,Fisherman,2026-02-19,04:45:00,Kochi (Ernakulam) Coast,,9.9312,76.2673,36.0,27.0,0.0,,,0.0,0.0,8.4,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,15,3,12546,8542,,0,Stable,Lake,2,0,Inactive,0,,,,,,,,,,2026-02-19 10:38:26.707667,
dd424090-e9f5-430f-b069-738737b8a042,fringbrba@gmail.com,Santhosh Kottam,KTU,pending,Test User,test@nccr.gov.in,Fisherman,Fisherman,2026-02-19,04:45:00,Kochi (Ernakulam) Coast,,9.9312,76.2673,36.0,27.0,0.0,,,0.0,0.0,8.4,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,15,3,12546,8542,,0,Stable,Lake,2,0,Inactive,0,,,,,,,,,,2026-02-19 10:44:32.090655,
50812b53-60eb-4d46-9777-5647fecaa8f0,fringbrba@gmail.com,Santhosh Kottam,KTU,pending,Test User,test@nccr.gov.in,Fisherman,Fisherman,2026-02-19,04:45:00,Kochi (Ernakulam) Coast,,9.9312,76.2673,36.0,27.0,0.0,,,0.0,0.0,8.4,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,15,3,12546,8542,,0,Stable,Lake,2,0,Inactive,0,,,,,,,,,,2026-02-19 10:44:45.482539,
fcdfea96-7edd-43c7-a401-254ad0c1d5c1,fringbrba@gmail.com,Sujesh,KTU,pending,Test User,test@nccr.gov.in,Student,,2026-02-19,10:51:00,Thrissur Coast,,10.5276,76.2144,36.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0,0,0,,0,Stable,Estuary,0,0,Active,0,,,,,,,,,,2026-02-19 10:55:17.331288,
dedd6033-48ce-4aed-b7bd-94e4b422d368,fringbrba@gmail.com,Sujesh,KTU,pending,Test User,test@nccr.gov.in,Student,,2026-02-19,10:51:00,Thrissur Coast,,10.5276,76.2144,36.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0,0,0,,0,Stable,Estuary,0,0,Active,0,,,,,,,,,,2026-02-19 10:55:41.861112,
36a1a061-9835-4e35-8d66-466f1c2a2abc,fringbrba@gmail.com,Sujesh,KTU,pending,Test User,test@nccr.gov.in,Student,,2026-02-19,10:51:00,Thrissur Coast,,10.5276,76.2144,36.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0,0,0,,0,Stable,Estuary,0,0,Active,0,,,,,,,,,,2026-02-19 10:58:29.386216,
